=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:14:50
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 8.61kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 8.96kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 9.04kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 9.14kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 8.75kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 8.93kB/s]
 95%|█████████▌| 7.10k/7.45k [00:00<00:00, 7.07kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 6.25kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.1395846, 0.1962798) / 角速度 Matrix([
    [  -0.027],
    [   0.054],
    [  -0.018],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,4220,94237,-95755,-2596,407,-927,11089,2018,-2021,0
T,4240,94747,-96273,-2605,-199,260,7153,2028,-2031,0
T,4260,95258,-96793,-2605,-1301,2109,5811,2039,-2041,0
T,4280,95770,-97312,-2607,-1301,4167,14762,2048,-2052,0
T,4300,96280,-97831,-2619,-642,3264,15242,2059,-2062,0
T,4320,96794,-98353,-2626,-469,2696,4483,2070,-2073,0
T,4340,97310,-98877,-2618,-1012,4546,7810,2081,-2083,0
T,4360,97826,-99402,-2633,101,3642,5751,2092,-2094,0
T,4380,98344,-99928,-2618,1366,6194,10217,2102,-2105,0
T,4400,98859,-100451,-2601,890,809,11462,2112,-2116,0
T,4420,99369,-100969,-2599,470,-498,3139,2122,-2127,0
T,4440,99878,-101487,-2591,-1974,2435,9838,2132,-2138,0
T,4460,100385,-102001,-2584,-983,6076,16157,2143,-2149,0
T,4480,100884,-102509,-2524,129,-2098,6200,2154,-2160,0
T,4500,101381,-103013,-2536,-1578,9307,14289,2164,-2170,0
T,4520,101873,-103514,-2496,2335,378,4703,2174,-2180,0
T,4540,102360,-104038,-2467,-3057,4759,10857,2184,-2190,0
T,4560,102877,-104534,-2486,-1351,2107,6537,2195,-2201,0
T,4580,103365,-105030,-2497,103,4083,11705,2205,-2211,0
T,4600,103849,-105522,-2443,-1370,4938,8130,2215,-2221,0
T,4620,104331,-106011,-2462,-988,500,5214,2225,-2230,0
T,4640,104817,-106505,-2489,1252,1412,10805,2236,-2241,0
T,4660,105304,-107000,-2476,-1979,4610,12517,2247,-2251,0
T,4680,105794,-107498,-2504,68,3990,7132,2258,-2262,0
T,4700,106287,-107999,-2510,347,790,4548,2268,-2272,0
T,4720,106783,-108503,-2543,1883,315,14089,2279,-2284,0
T,4740,107280,-109008,-2549,497,464,12723,2289,-2295,0
T,4760,107779,-109515,-2533,-263,3460,9035,2300,-2306,0
T,4780,108276,-110020,-2524,-1391,3563,11462,2310,-2318,0
T,4800,108770,-110522,-2515,-291,2569,13150,2320,-2328,0
T,4820,109265,-111025,-2538,591,2533,9267,2331,-2338,0
T,4840,109762,-111530,-2510,698,-714,10666,2341,-2348,0
T,4860,110254,-112030,-2497,3027,1664,9415,2352,-2357,0
T,4880,110750,-112534,-2528,-1618,1276,10877,2363,-2366,0
T,4900,111245,-113037,-2507,-1794,3187,9353,2374,-2376,0
T,4920,111741,-113541,-2510,712,941,4366,2385,-2386,0
T,4940,112240,-114048,-2544,293,2366,7072,2395,-2396,0
T,4960,112739,-114555,-2534,1707,1087,13024,2405,-2406,0
T,4980,113261,-115086,-2492,399,749,15557,2415,-2417,0
T,5000,113725,-115585,-2491,331,3015,7662,2426,-2427,0
T,5020,114247,-116087,-2506,-557,-311,4734,2437,-2438,0
T,5040,114742,-116590,-2518,-1054,2778,8214,2448,-2448,0
T,5060,115239,-117095,-2543,2556,100,13107,2458,-2459,0
T,5080,115736,-117600,-2506,-1355,5971,9479,2468,-2470,0
T,5100,116231,-118103,-2529,2970,3446,15068,2478,-2481,0
T,5120,116726,-118606,-2515,-1078,2004,8641,2489,-2492,0
T,5140,117222,-119110,-2535,3399,-970,6719,2499,-2503,0
T,5160,117715,-119611,-2500,1089,3005,6513,2510,-2514,0
T,5180,118203,-120106,-2469,-2554,2296,6017,2521,-2525,0
T,5200,118691,-120602,-2509,-685,4993,17437,2531,-2535,0
T,5220,119178,-121097,-2495,2563,1223,13071,2542,-2546,0
T,5240,119664,-121592,-2483,1323,3254,7941,2552,-2556,0
T,5260,120153,-122089,-2488,-2486,4150,8684,2562,-2566,0
T,5280,120644,-122587,-2497,4,1305,6291,2572,-2576,0
T,5300,121138,-123089,-2531,143,-953,8861,2583,-2587,0
T,5320,121637,-123596,-2563,146,1690,10996,2594,-2597,0
T,5340,122138,-124105,-2547,1165,215,10260,2605,-2607,0
T,5360,122641,-124617,-2601,418,835,8964,2617,-2617,0
T,5380,123151,-125134,-2595,-393,2953,11975,2627,-2629,0
T,5400,123661,-125653,-2568,1013,390,9341,2637,-2640,0
T,5420,124169,-126169,-2584,18,3015,9465,2648,-2652,0
T,5440,124678,-126717,-2582,-2012,2692,6136,2659,-2663,0
T,5460,125216,-127232,-2579,-851,2505,11342,2669,-2676,0
T,5480,125720,-127745,-2561,-841,1657,8710,2679,-2687,0
T,5500,126225,-128259,-2567,1030,1187,10311,2689,-2697,0
T,5520,126730,-128771,-2555,37,4804,13062,2700,-2707,0
T,5540,127229,-129278,-2528,-100,4902,10998,2711,-2717,0
T,5560,127734,-129792,-2607,748,318,14573,2722,-2726,0
T,5580,128245,-130311,-2618,1212,-352,13594,2733,-2736,0
T,5600,128757,-130831,-2601,-204,3779,5465,2743,-2746,0
T,5620,129272,-131355,-2647,1454,4090,17038,2754,-2756,0
T,5640,129785,-131876,-2589,1679,-1075,5247,2764,-2767,0
T,5660,130295,-132394,-2596,2686,-965,14019,2775,-2777,0
T,5680,130806,-132913,-2617,2376,3688,18540,2785,-2787,0
T,5700,131320,-133435,-2633,2724,-239,14583,2796,-2798,0
T,5720,131834,-133957,-2621,46,1441,14901,2807,-2809,0
T,5740,132350,-134482,-2638,-438,1915,6394,2817,-2819,0
T,5760,132865,-135005,-2604,7489,-6738,841,2827,-2831,0
T,5780,133378,-135526,-2617,-10,3310,13797,2837,-2841,0
T,5800,133887,-136043,-2609,1342,6160,5343,2847,-2853,0
T,5820,134392,-136556,-2538,390,2203,11211,2858,-2864,0
T,5840,134893,-137065,-2543,1001,1999,11605,2868,-2875,0
T,5860,135389,-137570,-2512,134,4239,10669,2879,-2885,0
T,5880,135879,-138068,-2475,454,4110,11032,2889,-2896,0
T,5900,136392,-138589,-2437,23,3262,8147,2900,-2906,0
T,5920,136873,-139077,-2437,-730,1436,7230,2909,-2915,0
T,5940,137355,-139568,-2471,549,5046,11361,2919,-2926,0
T,5960,137835,-140056,-2458,-486,4368,13635,2929,-2936,0
T,5980,138312,-140540,-2435,-986,4249,12620,2940,-2947,0
T,6000,138792,-141028,-2466,207,3276,12090,2951,-2955,0
T,6020,139275,-141518,-2469,-1457,2598,15830,2961,-2966,0
T,6040,139760,-142011,-2498,335,1202,13446,2973,-2977,0
T,6060,140251,-142510,-2507,-1000,2830,7020,2984,-2988,0
T,6080,140742,-143009,-2483,-597,3542,12971,2994,-2999,0
T,6100,141229,-143503,-2479,-2152,5293,6781,3004,-3009,0
T,6120,141716,-143999,-2500,-2227,3650,9030,3015,-3021,0
T,6140,142206,-144497,-2502,461,339,4264,3026,-3033,0
T,6160,142696,-144994,-2482,8,-606,12095,3036,-3044,0
T,6180,143187,-145494,-2520,824,2301,11065,3046,-3055,0
T,6200,143682,-145996,-2522,-590,3789,11309,3056,-3064,0
